institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-2811700943,SHILLONG POLYTECHNIC,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",EAST KHASI HILLS,Government,N,N,1-504869141,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Meghalaya,1
1-2811944544,TURA POLYTECHNIC,"CHERANGRE,NR. TURA PUBLIC SCHOOL",WEST GARO HILLS,Government,N,N,1-504811141,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Meghalaya,1
1-2811574561,JOWAI POLYTECHNIC,"LADTHALABOH,
NEAR KIANG NANGBAH GOVT COLLEGE",JAINTIA HILLS,Government,N,N,1-503732761,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Meghalaya,1
1-2811898857,REGIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY," BARIDUWA, RAID MARWET, KILLING ROAD, 9TH MILE, RI-BHOI, MEGHALAYA",RI BHOI,Unaided - Private,N,Y,1-10208791,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Meghalaya,1
