institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-686921181,TOMI POLYTECHNIC COLLEGE,"PO:BASAR
PS:BASAR
DIST:WESTSIANG
STATE:ARUNACHAL PRADESH
PIN:791101",WEST SIANG,Unaided - Private,N,N,1-509673301,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Arunachal Pradesh,1
1-770599412,RAJIV GANDHI GOVT POLYTECHNIC,"BEHIND DNGC
VIVEK VIHAR",PAPUM PARE,Government,N,N,1-486671591,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Arunachal Pradesh,1
1-747957771,NORTH EASTERN INSTITUTE OF SCIENCE & TECHNOLOGY,"NERIST;
P.O.NIRJULI
ARUNACHAL PRADESH
PIN:791109",PAPUM PARE,Government,N,N,1-514072491,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Arunachal Pradesh,1
