institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-3322419450,"GOVERNMENT POLYTECHNIC,DIU","TECHNICAL TRAINING INSTITUTE CAMPUS, FORT ROAD ,DIU",DIU,Govt aided,N,N,1-2056611791,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Daman and Diu,1
1-3323376128,"GOVERMENT POLYTECHNIC,DAMAN","VARKUND,
MOTA FALIA,
NANI DAMAN
DAMAN",DAMAN,Government,N,N,1-414180401,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Daman and Diu,1
